LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
BOS,3,29378,14.08,21.12,30357,14.55,21.83,31336,15.01,22.52,32315,15.48,23.22,33294,15.95,23.93,34273,16.42,24.63,35252,16.89,25.34,36231,17.36,26.04,37210,17.83,26.75,38189,18.30,27.45
BOS,4,32980,15.80,23.70,34079,16.33,24.50,35178,16.86,25.29,36277,17.38,26.07,37376,17.91,26.87,38475,18.44,27.66,39574,18.96,28.44,40672,19.49,29.24,41771,20.01,30.02,42870,20.54,30.81
BOS,5,36899,17.68,26.52,38129,18.27,27.41,39359,18.86,28.29,40590,19.45,29.18,41820,20.04,30.06,43050,20.63,30.95,44280,21.22,31.83,45510,21.81,32.72,46741,22.40,33.60,47971,22.99,34.49
BOS,6,41130,19.71,29.57,42501,20.36,30.54,43871,21.02,31.53,45241,21.68,32.52,46612,22.33,33.50,47982,22.99,34.49,49353,23.65,35.48,50723,24.30,36.45,52093,24.96,37.44,53464,25.62,38.43
BOS,7,45707,21.90,32.85,47230,22.63,33.95,48753,23.36,35.04,50277,24.09,36.14,51800,24.82,37.23,53324,25.55,38.33,54847,26.28,39.42,56370,27.01,40.52,57894,27.74,41.61,59417,28.47,42.71
BOS,8,50618,24.25,36.38,52306,25.06,37.59,53994,25.87,38.81,55682,26.68,40.02,57370,27.49,41.24,59058,28.30,42.45,60745,29.11,43.67,62433,29.92,44.25,64121,30.72,44.25,65809,31.53,44.25
BOS,9,55909,26.79,40.19,57773,27.68,41.52,59636,28.57,42.86,61500,29.47,44.21,63364,30.36,44.25,65228,31.25,44.25,67091,32.15,44.25,68955,33.04,44.25,70819,33.93,44.25,72683,34.83,44.25
BOS,10,61569,29.50,44.25,63621,30.48,44.25,65674,31.47,44.25,67726,32.45,44.25,69779,33.44,44.25,71831,34.42,44.25,73884,35.40,44.25,75936,36.39,44.25,77988,37.37,44.25,80041,38.35,44.25
BOS,11,67643,32.41,44.25,69899,33.49,44.25,72154,34.57,44.25,74409,35.65,44.25,76664,36.73,44.25,78919,37.81,44.25,81174,38.90,44.25,83429,39.98,44.25,85684,41.06,44.25,87940,42.14,44.25
BOS,12,81077,38.85,44.25,83780,40.14,44.25,86482,41.44,44.25,89185,42.73,44.25,91888,44.03,44.25,94590,45.32,45.32,97293,46.62,46.62,99995,47.91,47.91,102698,49.21,49.21,105400,50.50,50.50
BOS,13,96411,46.20,46.20,99624,47.74,47.74,102838,49.28,49.28,106052,50.82,50.82,109266,52.36,52.36,112479,53.90,53.90,115693,55.44,55.44,118907,56.98,56.98,122121,58.52,58.52,125335,60.06,60.06
BOS,14,113929,54.59,54.59,117727,56.41,56.41,121524,58.23,58.23,125322,60.05,60.05,129119,61.87,61.87,132917,63.69,63.69,136715,65.51,65.51,140512,67.33,67.33,144310,69.15,69.15,148108,70.97,70.97
BOS,15,134011,64.21,64.21,138478,66.35,66.35,142945,68.49,68.49,147411,70.63,70.63,151878,72.77,72.77,156345,74.91,74.91,160812,77.05,77.05,164200,78.68,78.68,164200,78.68,78.68,164200,78.68,78.68
BU,1,22388,10.73,16.10,23138,11.09,16.64,23882,11.44,17.16,24623,11.80,17.70,25367,12.15,18.23,25802,12.36,18.54,26538,12.72,19.08,27281,13.07,19.61,27310,13.09,19.64,28010,13.42,20.13
BU,2,25172,12.06,18.09,25771,12.35,18.53,26605,12.75,19.13,27310,13.09,19.64,27620,13.23,19.85,28433,13.62,20.43,29246,14.01,21.02,30058,14.40,21.60,30871,14.79,22.19,31684,15.18,22.77
BU,3,27465,13.16,19.74,28380,13.60,20.40,29296,14.04,21.06,30211,14.48,21.72,31126,14.91,22.37,32042,15.35,23.03,32957,15.79,23.69,33872,16.23,24.35,34787,16.67,25.01,35703,17.11,25.67
BU,4,30833,14.77,22.16,31860,15.27,22.91,32888,15.76,23.64,33915,16.25,24.38,34942,16.74,25.11,35970,17.24,25.86,36997,17.73,26.60,38024,18.22,27.33,39052,18.71,28.07,40079,19.20,28.80
BU,5,34497,16.53,24.80,35647,17.08,25.62,36797,17.63,26.45,37947,18.18,27.27,39097,18.73,28.10,40247,19.28,28.92,41397,19.84,29.76,42547,20.39,30.59,43697,20.94,31.41,44847,21.49,32.24
BU,6,38452,18.42,27.63,39733,19.04,28.56,41015,19.65,29.48,42296,20.27,30.41,43577,20.88,31.32,44858,21.49,32.24,46139,22.11,33.17,47421,22.72,34.08,48702,23.34,35.01,49983,23.95,35.93
BU,7,42731,20.47,30.71,44155,21.16,31.74,45579,21.84,32.76,47003,22.52,33.78,48428,23.20,34.80,49852,23.89,35.84,51276,24.57,36.86,52700,25.25,37.88,54124,25.93,38.90,55549,26.62,39.93
BU,8,47323,22.68,34.02,48901,23.43,35.15,50479,24.19,36.29,52057,24.94,37.41,53635,25.70,38.55,55213,26.46,39.69,56790,27.21,40.82,58368,27.97,41.37,59946,28.72,41.37,61524,29.48,41.37
BU,9,52269,25.05,37.58,54011,25.88,38.82,55754,26.71,40.07,57496,27.55,41.33,59238,28.38,41.37,60981,29.22,41.37,62723,30.05,41.37,64466,30.89,41.37,66208,31.72,41.37,67950,32.56,41.37
BU,10,57560,27.58,41.37,59479,28.50,41.37,61398,29.42,41.37,63317,30.34,41.37,65236,31.26,41.37,67154,32.18,41.37,69073,33.10,41.37,70992,34.02,41.37,72911,34.94,41.37,74830,35.86,41.37
BU,11,63239,30.30,41.37,65348,31.31,41.37,67456,32.32,41.37,69564,33.33,41.37,71672,34.34,41.37,73781,35.35,41.37,75889,36.36,41.37,77997,37.37,41.37,80106,38.38,41.37,82214,39.39,41.37
BU,12,75798,36.32,41.37,78325,37.53,41.37,80852,38.74,41.37,83378,39.95,41.37,85905,41.16,41.37,88432,42.37,42.37,90958,43.58,43.58,93485,44.79,44.79,96011,46.00,46.00,98538,47.22,47.22
BU,13,90133,43.19,43.19,93138,44.63,44.63,96143,46.07,46.07,99147,47.51,47.51,102152,48.95,48.95,105156,50.39,50.39,108161,51.83,51.83,111165,53.27,53.27,114170,54.71,54.71,117174,56.14,56.14
BU,14,106511,51.04,51.04,110062,52.74,52.74,113612,54.44,54.44,117162,56.14,56.14,120713,57.84,57.84,124263,59.54,59.54,127813,61.24,61.24,131364,62.94,62.94,134914,64.64,64.64,138465,66.35,66.35
BU,15,125286,60.03,60.03,129462,62.03,62.03,133638,64.03,64.03,137814,66.03,66.03,141990,68.04,68.04,146166,70.04,70.04,150342,72.04,72.04,154518,74.04,74.04,158694,76.04,76.04,162870,78.04,78.04
CHI,1,23945,11.47,17.21,24747,11.86,17.79,25544,12.24,18.36,26335,12.62,18.93,27132,13.00,19.50,27597,13.22,19.83,28384,13.60,20.40,29179,13.98,20.97,29210,14.00,21.00,29958,14.35,21.53
CHI,2,26923,12.90,19.35,27564,13.21,19.82,28455,13.63,20.45,29210,14.00,21.00,29541,14.15,21.23,30411,14.57,21.86,31280,14.99,22.49,32149,15.40,23.10,33019,15.82,23.73,33888,16.24,24.36
CHI,3,29375,14.08,21.12,30354,14.54,21.81,31333,15.01,22.52,32312,15.48,23.22,33291,15.95,23.93,34270,16.42,24.63,35249,16.89,25.34,36228,17.36,26.04,37207,17.83,26.75,38186,18.30,27.45
CHI,4,32978,15.80,23.70,34077,16.33,24.50,35175,16.85,25.28,36274,17.38,26.07,37373,17.91,26.87,38472,18.43,27.65,39571,18.96,28.44,40669,19.49,29.24,41768,20.01,30.02,42867,20.54,30.81
CHI,5,36896,17.68,26.52,38126,18.27,27.41,39356,18.86,28.29,40586,19.45,29.18,41817,20.04,30.06,43047,20.63,30.95,44277,21.22,31.83,45507,21.80,32.70,46737,22.39,33.59,47967,22.98,34.47
